,,,
,,,
Faucet Inventory Results,,,NaN <1 = less than 1 part per billion
,,,
Location / Room Number,Outlet Type,Floor Number,Result # (ppb)
25 North 1st FL Bathroom Sink,Bathroom Faucet,1,7.2
25 North 1st FL Kitchen Sink,Kitchen Faucet,1,8.5
26 North 1st FL Bathroom Sink,Bathroom Faucet,1,9.5
26 North 1st FL Kitchen Sink,Kitchen Faucet,1,9.4
26 North 1st FL Refrigerator Water Dispenser,Refrigerator,1,Testing on 2/5/24
26 North 2nd FL Bathroom Sink East,Bathroom Faucet,2,8.7
26 North 2nd FL Bathroom Sink West,Bathroom Faucet,2,9.7
9 Shirley 2nd Bathroom 1st Floor,Bathroom Faucet,1,22
9 Shirley Front Entrance Bathroom Sink,Bathroom Faucet,1,13
9SAK 9 Shirley Road Apt. Kitchen Sink,Kitchen Faucet,1,12
ATBS athletic training room big sink FH,Kitchen Faucet,1,1.9
ATHFO fieldhouse ath training hose filling station outside spick,Other,1,NaN <1
ATHFS athletic trading hose filling station FH,Other,1,Testing on 2/5/24
ATLS athletic training room little sink FH,Kitchen Faucet,1,NaN <1
BEAK Burbank East Apt Kitchen Sink,Kitchen Faucet,1,1.2
BEC Dorm East Commons RM Sink Burb E,Kitchen Faucet,1,3.5
Boathouse bathroom sink,Bathroom Faucet,1,1.1
Burbank East Apt 1st Floor Bathroom Sink,Bathroom Faucet,1,1.3
Burbank East Apt 2nd FL Bathroom Sink,Bathroom Faucet,2,1.2
Burbank East Dorm 1st FL Bathroom Right Sink,Bathroom Faucet,1,84
Burbank East Dorm 1st Floor Bathroom Left Sink,Bathroom Faucet,1,50
Burbank East Dorm 2nd FL Bathroom Left Sink,Bathroom Faucet,2,4
Burbank East Dorm 2nd FL Bathroom Right Sink,Bathroom Faucet,2,28
Burbank west Apt 1st floor bathroom sink,Bathroom Faucet,1,11
Burbank west Apt 2nd floor bathroom sink,Bathroom Faucet,2,3
Burbank West Dorm 1st FL Bathroom Left Sink,Bathroom Faucet,1,44
Burbank West Dorm 1st FL Bathroom Right Sink,Bathroom Faucet,1,8.2
Burbank West Dorm 2nd FL Bathroom Left Sink,Bathroom Faucet,2,30
Burbank West Dorm 2nd FL Bathroom Sink Right,Bathroom Faucet,2,5.6
BWAK West Apt kitchen sink Burb. W Apt,Kitchen Faucet,1,6
BWC Dorm West Commons RM Sink Burb W,Kitchen Faucet,1,3
CA Apt kitchen Carr apt,Kitchen Faucet,1,8.9
CAA Apt A Kitchen Sink Cangiano Apt A,Kitchen Faucet,1,2.8
CAB Apt B Kitchen Sink Cangiano Apt B,Kitchen Faucet,1,12
CAC Apt C Kitchen Sink Cangiano Apt C,Kitchen Faucet,3,Testing on 2/5/24
CAK Apt Kitchen Sink Cortland Apt,Kitchen Faucet,1,4.5
Cangiano Apt 3rd FL Apt Bathroom Sink,Bathroom Faucet,3,Testing on 2/5/24
Cangiano Front Apt 1st FL Bathroom Sink,Bathroom Faucet,1,11
Cangiano Front Apt 2nd FL Bathroom Sink,Bathroom Faucet,2,54
Cangiano Middle Apt Bathroom Sink,Bathroom Faucet,1,17
Cangiano Middle Apt Refrigerator Water Dispenser,Refrigerator,1,Testing on 2/5/24
Carr dorm 2nd floor middle bathroom sink left,Bathroom Faucet,2,7
Carr dorm 2nd floor middle bathroom sink right,Bathroom Faucet,2,2.9
Carr dorm 2nd floor south bathroom sink left,Bathroom Faucet,2,7.4
Carr dorm 2nd floor south bathroom sink right,Bathroom Faucet,1,7.6
Carr house Apt 1st floor bathroom sink,Bathroom Faucet,1,5.4
Carriage Apt West 2nd FL Bathroom Sink,Bathroom Faucet,2,2.3
Carriage Dorm East 1st FL Bathroom Sink,Bathroom Faucet,1,3.8
Carriage Dorm East 2nd FL Bathroom Sink Left,Bathroom Faucet,2,4.3
Carriage Dorm East 2nd FL Bathroom Sink Right,Bathroom Faucet,2,3.1
Carriage Dorm West 1st FL Bathroom Sink,Bathroom Faucet,1,3.5
Carriage Dorm West 2nd FL Bathroom Sink Left,Bathroom Faucet,2,2.1
Carriage Dorm West 2nd FL Bathroom Sink Right,Bathroom Faucet,2,2.5
Carriage East Apt 2nd FL Bathroom Sink,Bathroom Faucet,2,1.7
Carriage West Apt 1st FL Bathroom Sink Left,Bathroom Faucet,1,2.7
Carriage West Apt 1st FL Bathroom Sink Right,Bathroom Faucet,1,6.2
CC Dorm common Rm sink Carr,Kitchen Faucet,1,22
CDC Dorm Common RM Sink Cortland,Kitchen Faucet,2,7.3
CDK Downstairs Kitchen Sink Chapel,Kitchen Faucet,1,110
CEAK East Apt Kitchen Sink Carriage E Apt,Kitchen Faucet,1,4.2
CEC Dorm East Common RM Sink Carriage E,Kitchen Faucet,1,5.4
Chapel upstairs bathroom sink,Bathroom Faucet,2,4.3
Coffee House 1st Floor Bathroom,Bathroom Faucet,1,2.5
Coffee House 2nd Floor Bathroom,Bathroom Faucet,2,11
Coffee House 2nd Floor Kitchen Sink,Kitchen Faucet,2,2.9
Cortland Dorm Bathroom Left Sink,Bathroom Faucet,2,6.8
Cortland Dorm Bathroom Right Sink,Bathroom Faucet,2,7
Cortland House 1st FL Bathroom Sink,Bathroom Faucet,1,12
Cortland House 2nd FL Bathroom Sink,Bathroom Faucet,2,13
CW Dorm West Common RM Sink Carriage West,Kitchen Faucet,1,"6.6, 5.6"
CWAK West Apt Kitchen Sink Carriage W Apt,Kitchen Faucet,1,1.2
DAK Apt Kitchen Sink Denberg,Kitchen Faucet,1,18
DAK Davis Apt Kitchen Sink,Kitchen Faucet,1,NaN <1
Davis Apt 1st FL Bathroom Sink,Bathroom Faucet,1,6.7
Davis Apt 2nd FL Bathroom Sink,Bathroom Faucet,2,6.5
Davis Dorm 1st FL Bathroom Sink Left,Bathroom Faucet,1,12
Davis Dorm 1st FL Bathroom Sink Right,Bathroom Faucet,1,15
Davis Dorm 2nd FL Bathroom Sink Left,Bathroom Faucet,2,7.5
Davis Dorm 2nd FL Bathroom Sink Right,Bathroom Faucet,2,11
DCSFS 2ND Floor Sink Dining Commons,Kitchen Faucet,2,1.7
DDC Dorm Common RM Sink Davis,Kitchen Faucet,1,11
Denberg Hse 1st FL Bathroom Sink,Bathroom Faucet,1,19
Denberg Hse 2nd FL Bathroom Sink,Bathroom Faucet,2,13
Dining Common Back Food Prep Sink Left,Kitchen Faucet,1,NaN <1
Dining Common Back Middle Food Prep Sink,Kitchen Faucet,1,1.3
Dining Common Girls Bathroom Left Sink,Bathroom Faucet,1,NaN <1
Dining Common Pizza Oven Sink,Kitchen Faucet,1,4.5
Dining Commons Back Right Food Prep Sink,Kitchen Faucet,1,1.9
Dining Commons Bottle Fill Station,Drinking Fountain,1,NaN <1
Dining Commons Boys Bathroom Right Sink,Bathroom Faucet,1,NaN <1
Dining Commons Front Food Prep Sink,Kitchen Faucet,1,1.3
Dining Commons Front Pot Filler,Kitchen Faucet,1,NaN <1
Dining Commons Girls Bathroom Right Sink,Bathroom Faucet,1,NaN <1
Dining Commons Middle East Food Prep Sink,Kitchen Faucet,1,1.4
Dining Commons Middle West Food Prep Sink,Kitchen Faucet,1,NaN <1
Dining Commons Salad Prep Left Side Sink,Kitchen Faucet,1,1.3
Dining Commons Salad Prep Right Side Sink,Kitchen Faucet,1,1.3
Dining Commons Steam Kettle,Other,1,5.5
Dinning Commons Boys Bathroom Left Sink,Bathroom Faucet,1,Testing on 2/5/24
EHA1 Apt 1 Main House Kitchen Sink English,Kitchen Faucet,1,NaN <1
EHA2 Apt 2 (down) Kitchen Sink English Apt 2,Kitchen Faucet,1,9.1
EHA3 Apt 3 (up) Kitchen Sink English Apt 3,Kitchen Faucet,2,Testing on 2/5/24
Elbow Cabin Kitchen Sink,Kitchen Faucet,1,NaN <1
Elbow Cabin Kitchen Sink,Kitchen Faucet,1,NaN <1
English 2nd FL Apt Bathroom Sink,Bathroom Faucet,2,5.1
English Hse 1st FL Apt Bathroom Sink,Bathroom Faucet,1,9.1
English Hse 1st FL Bathroom Sink,Bathroom Faucet,1,5.8
English Hse 1st FL Refrigerator Water Dispenser,Refrigerator,1,Testing on 2/5/24
English Hse 2nd FL Bathroom Sink RM 2,Bathroom Faucet,2,13
English Hse 2nd FL Bathroom Sink RM 3,Bathroom Faucet,2,Testing on 2/5/24
English Hse 2nd FL Bathroom Sink RM 4,Bathroom Faucet,2,Testing on 2/5/24
English Hse 2nd FL Bathroom Sink RM 5,Bathroom Faucet,2,Testing on 2/5/24
English Hse 3rd FL Bathroom Sink East,Bathroom Faucet,3,Testing on 2/5/24
English Hse 3rd FL Bathroom Sink West,Bathroom Faucet,3,1
FAEK Apt East Kitchen Sink Fowler E Apt,Kitchen Faucet,1,1.5
FAK Apt Kitchen Sink Farm Apt,Kitchen Faucet,1,7.6
FAK Apt Kitchen Sink Farr,Kitchen Faucet,1,7.3
FAK Ferguson Apt Kitchen Sink,Kitchen Faucet,2,Testing on 2/5/24
Farm Apt 1st FL Bathroom,Bathroom Faucet,1,19
Farm Apt 2nd FL Bathroom,Bathroom Faucet,2,18
Farm Dorm 1st FL Bathroom Left Sink,Bathroom Faucet,1,7.1
Farm Dorm 1st FL Bathroom Right Sink,Bathroom Faucet,1,5.1
Farr Apt 1st FL Bathroom,Bathroom Faucet,1,9.8
Farr Apt 2nd FL Bathroom Sink,Bathroom Faucet,2,10
Farr Apt Refrigerator Water Faucet,Other,1,5.2
FAWK Apt West Kitchen Sink Fowler West,Kitchen Faucet,1,3.4
FDC Dorm Common RM Sink Farm,Kitchen Faucet,1,7.9
FDC Dorm common room sink Fowler,Kitchen Faucet,1,Testing on 2/5/24
Ferguson Hse 2nd FL Bathroom Sink North,Bathroom Faucet,2,130
FHK House Kitchen Sink Ferguson Hse,Kitchen Faucet,1,1.5
Fieldhouse boys locker room left north sink,Bathroom Faucet,1,1.3
Fieldhouse boys locker room left south sink,Bathroom Faucet,1,NaN <1
Fieldhouse boys locker room right north sink,Bathroom Faucet,1,1.8
Fieldhouse boys locker room right south sink,Bathroom Faucet,1,1.1
Fieldhouse girls locker room 1st floor left middle sink,Bathroom Faucet,1,2.3
Fieldhouse girls locker room 1st floor left sink,Bathroom Faucet,1,2.6
Fieldhouse girls locker room 1st floor right sink,Bathroom Faucet,1,1.4
Fieldhouse girls locker room 1st right middle sink,Bathroom Faucet,1,1.8
Fieldhouse locker room by equipment room left sink,Bathroom Faucet,1,1.2
Fieldhouse locker room by equipment room right sink,Bathroom Faucet,1,NaN <1
Fieldhouse mens locker room left sink,Bathroom Faucet,2,1.2
Fieldhouse mens locker room right sink,Bathroom Faucet,2,1.3
"Fieldhouse visitors locker room 1, 1st floor bathroom sink",Bathroom Faucet,1,1.8
"Fieldhouse visitors locker room 2, 1st floor bathroom sink",Bathroom Faucet,1,2.6
Fieldhouse womens locker room 1st floor sink,Bathroom Faucet,1,1.4
Fieldhouse womens locker room 1st floor sink right,Bathroom Faucet,1,1.6
FLCBLWBF basement level water bottle filler LC,Drinking Fountain,1,NaN <1
FLCLWF Library water fountain LC,Drinking Fountain,2,2.4
FLCTFTRS 3rd floor teachers room sink LC,Kitchen Faucet,3,4.2
Flower dorm 1st floor bathroom sink,Bathroom Faucet,1,3.2
Fowler Apt East 2nd FL Bathroom Sink,Bathroom Faucet,2,1.6
Fowler Apt West 2nd FL Bathroom Sink South,Bathroom Faucet,2,6.3
Fowler common room sink fowler,Kitchen Faucet,1,"2.4, NaN"
Fowler dorm 2nd floor bathroom sink left,Bathroom Faucet,2,1.6
Fowler dorm 2nd floor bathroom sink right,Bathroom Faucet,2,2.6
Fowler West Apt 1st FL Bathroom Sink,Bathroom Faucet,1,5.3
Fowler West Apt 2nd FL Bathroom Sink North,Bathroom Faucet,2,12
FRWBF by fitness room water bottler filler fh,Drinking Fountain,1,1.3
FRWF by fitness room water bottle filler FH,Drinking Fountain,1,1.3
Furguson Apt Bathroom Sink,Bathroom Faucet,2,Testing on 2/5/24
Furguson Hse 1st FL Bathroom Sink,Bathroom Faucet,1,2.7
Furguson Hse 2nd FL Bathroom Sink South,Bathroom Faucet,2,18
GAAK Apt A kitchen sink Gannett Apt a,Kitchen Faucet,1,1.4
GABK Apt B Kitchen Sink Gannett Apt B,Kitchen Faucet,Basement,30
GACK Apt c kitchen sink Gannett Apt c,Kitchen Faucet,3,Testing on 2/5/24
GAK Apt kitchen sink Guilck,Kitchen Faucet,1,6.4
Gannett 3rd floor bathroom sink right,Bathroom Faucet,3,1.9
Gannett Apt 1st floor bathroom sink,Bathroom Faucet,1,1.2
